area_sqft,bedrooms,bathrooms,age_years,location_score,price
3674,4,1,22,5,504300
4007,2,3,15,9,582700
1360,4,1,30,4,225100
1794,3,3,10,9,364500
1630,3,1,15,5,276100
1595,1,3,7,9,290400
4272,5,1,3,3,653900
3592,4,2,39,4,501900
2138,2,1,3,9,383700
2669,3,1,24,6,428400
966,1,2,2,2,141800
1738,1,1,31,7,265900
830,4,2,2,2,186200
1982,3,1,26,2,279100
2635,5,3,28,1,415100
3944,3,3,31,3,538100
3671,4,1,18,6,536700
3419,4,1,20,8,525800
4235,3,1,4,9,626400
630,4,3,17,7,190400
2185,3,1,27,4,339500
3880,2,3,21,6,572500
1269,3,2,20,5,246400
2891,3,3,5,8,476300
2015,4,3,0,1,329200
3985,4,2,4,1,552400
3353,1,3,11,6,521900
2933,1,1,25,2,387000
1715,2,1,33,5,246800
1455,1,3,13,1,219700
2824,3,1,25,7,424400
1684,4,3,26,1,288000
959,1,1,8,4,173800
3885,1,1,25,9,559500
521,2,3,21,1,101000
2800,2,1,29,4,386400
1247,3,3,16,6,233600
3404,4,1,25,6,487600
4132,2,1,35,8,585100
974,1,2,0,1,145600
1582,4,2,7,7,307600
3058,4,3,34,1,437600
4253,1,2,14,7,600600
2547,2,3,21,3,356900
4047,1,2,13,8,522000
3247,4,1,25,3,450600
1475,5,3,27,1,286500
2306,5,3,22,8,433300
689,3,1,13,3,171100
3505,1,3,23,2,446200
3234,1,3,1,1,415700
3505,3,2,25,3,496500
1062,3,3,13,2,211600
2399,3,1,6,2,358700
4138,4,2,2,6,637000
1767,1,2,22,1,243800
3379,4,1,17,2,484000
2028,3,1,37,6,327500
3702,1,2,34,3,483600
4056,4,3,14,4,610400
4390,4,2,24,1,610700
1146,3,1,36,8,250700
2568,1,2,27,7,367800
3388,3,1,9,7,517600
2714,1,2,38,3,348700
1797,5,3,16,3,319300
2935,2,2,38,2,377500
1100,2,2,21,1,180600
2863,2,1,25,7,425800
2561,3,1,24,7,405100
741,5,1,16,2,173700
2541,1,2,12,7,386400
3324,4,3,19,8,549900
3917,1,1,24,1,461500
3112,4,1,3,9,513400
3445,1,2,9,7,498500
1863,5,1,2,3,342300
2639,4,3,17,8,436800
1890,3,3,35,7,352200
3503,1,1,21,8,495800
1978,1,1,33,6,288000
3999,4,2,7,9,620300
3056,3,3,39,5,458600
1275,3,3,18,3,238300
534,5,1,36,3,162400
2753,3,2,5,1,377700
3652,3,3,25,8,559900
2455,3,3,33,2,365300
2085,2,2,5,3,317400
4443,5,2,36,8,657300
3959,1,3,32,8,553000
3573,4,3,21,4,536600
1521,1,2,20,4,206400
3961,5,3,5,5,630800
3113,4,1,5,6,480400
1629,5,1,3,5,320000
4343,3,2,29,7,624500
4393,4,2,10,2,607300
2000,3,2,29,7,335800
1202,1,1,30,7,170700
2949,1,3,23,1,399500
3277,4,1,8,7,529000
2079,4,3,2,5,352400
661,5,1,30,3,158200
701,5,3,39,3,163500
2481,3,1,36,4,353300
1495,4,2,35,2,257100
2817,1,1,23,2,375400
4434,5,3,30,1,637900
1315,5,1,5,5,298500
3842,1,1,1,4,513900
955,5,1,19,2,183200
4033,3,2,27,3,549600
4298,4,1,10,7,643300
1775,1,2,3,7,283200
1516,4,2,14,4,307600
4273,5,1,5,5,647200
2843,5,1,29,5,439900
4296,1,1,37,6,548300
3267,3,3,1,9,528200
4320,2,1,14,2,564300
837,1,2,10,5,164000
1378,2,1,7,3,238000
1576,2,3,25,4,256000
1291,3,1,4,6,262300
4493,2,3,5,8,658700
2764,2,3,25,1,383700
1263,3,1,3,8,264700
2735,2,2,18,7,430400
879,2,3,19,1,169100
992,2,1,32,2,156300
3612,1,1,19,3,476400
1680,1,2,11,1,221600
2562,1,3,0,9,429300
4384,3,3,25,8,663800
564,5,1,13,2,165700
4428,2,1,37,9,598300
4410,2,2,36,7,605700
3068,3,2,10,9,502800
1867,2,3,35,6,292700
1652,1,3,12,6,261300
2527,5,1,2,4,413900
3195,4,3,32,2,452700
1995,2,2,5,7,341200
3634,1,2,9,5,480000
1662,4,1,4,6,322700
2022,5,2,22,2,326500
3140,4,2,9,5,504500
891,1,2,1,4,169000
2198,4,2,12,9,405800
918,3,1,39,6,179400
2836,4,1,1,2,415200
878,2,3,19,1,195200
2296,2,2,0,5,358100
4061,3,3,36,9,620900
2778,1,1,8,6,383600
3565,2,1,16,7,516600
2588,5,1,8,5,436300
3599,2,1,10,6,511500
2682,2,1,14,5,382100
700,1,1,23,9,158700
2363,4,1,37,6,365900
1279,2,2,34,8,276300
3477,3,3,29,2,484700
3604,4,1,30,9,558400
3619,5,2,4,5,592800
1002,1,2,13,7,187700
2954,5,3,10,1,460000
4145,4,1,8,5,597000
2251,4,3,33,2,348400
1304,4,1,11,6,263000
2646,5,2,34,1,382300
3231,4,2,34,3,467500
2395,5,2,0,5,406500
3273,4,2,39,4,488400
2070,3,3,21,3,339900
1460,4,1,28,5,255400
4310,5,1,7,8,653900
3160,2,3,10,4,467300
1985,4,1,36,1,275400
3190,2,2,13,7,505600
4340,3,1,29,8,622000
1528,1,2,34,3,221100
3789,3,3,20,6,571900
1002,4,1,36,2,168700
3314,2,3,4,7,526800
897,2,1,18,8,199000
1370,5,2,13,6,311300
3342,2,3,25,6,486100
892,5,1,3,5,249400
706,1,2,24,8,170500
1538,4,3,24,1,296100
2381,5,3,17,4,403600
4125,1,1,39,4,523900
3439,2,1,7,3,455600
1984,2,1,38,3,263700
4262,1,2,39,4,556500
4146,2,1,13,1,552100
1363,1,3,31,2,244200
3290,5,3,37,9,540800
3812,5,1,32,2,518800
1063,1,1,22,5,186300
1520,5,3,14,9,331300
595,5,2,32,9,221300
2423,5,1,24,8,413000
2257,3,1,16,1,324200
3032,4,3,32,1,452600
3978,2,1,1,9,586900
2778,3,2,13,8,466000
3296,5,3,39,9,554400
2178,1,1,39,7,283200
3742,5,3,38,3,534100
1040,4,1,5,3,191400
1559,5,1,5,2,314100
3072,1,1,2,5,430500
1683,4,2,6,3,327900
4410,5,2,7,6,642100
2222,4,3,14,2,352800
3814,2,1,28,3,511300
3657,2,1,32,5,495900
2319,5,2,29,1,366100
3125,4,1,38,1,403800
3229,1,2,26,9,494300
3104,5,1,35,7,497100
2097,2,3,28,1,303300
3560,2,1,37,8,491300
3193,5,1,32,3,471400
1295,4,2,36,8,266200
1551,2,1,26,5,220600
2143,4,1,32,1,308800
4127,2,2,3,7,596500
1863,2,3,21,5,322700
4369,3,3,1,6,613000
2481,2,2,9,6,392000
1854,1,2,4,8,300900
2163,5,2,9,9,424100
2029,5,2,32,2,334500
2538,4,2,37,9,425700
3919,2,3,12,9,604800
1996,1,3,30,7,297800
3802,4,2,35,1,532900
2737,3,1,23,7,410400
3796,4,2,14,5,541000
1908,4,1,28,6,320500
1900,2,2,7,7,297000
1806,3,2,4,5,322300
3180,4,3,28,7,501300
3175,1,1,3,9,494100
